UF,cod_Inst,cod_Curso,cor_raca,renda_num,renda_valor,renda,cota,ensino_medio,motivo,escolaridade_pai,escolaridade_mae,sexo,nome_curso
25,2564,13405,Parda,1,"até R$ 1.405,50",Baixíssima,Mais de uma cota,Todo escola pública,Vocação,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),F,HISTÓRIA (LICENCIATURA)
25,2564,13405,Parda,1,"até R$ 1.405,50",Baixíssima,Não,Todo escola pública,Outro,Nenhuma,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),F,HISTÓRIA (LICENCIATURA)
25,2564,13405,Não quero declarar,1,"até R$ 1.405,50",Baixíssima,Não,Todo escola pública,Outro,Nenhuma,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),F,HISTÓRIA (LICENCIATURA)
25,2564,13405,Amarela,1,"até R$ 1.405,50",Baixíssima,Renda,Todo escola pública,Outro,Nenhuma,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),F,HISTÓRIA (LICENCIATURA)
25,2564,13405,Parda,1,"até R$ 1.405,50",Baixíssima,Não,Maior parte escola pública,Vocação,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),F,HISTÓRIA (LICENCIATURA)
25,2564,13405,Parda,1,"até R$ 1.405,50",Baixíssima,Não,Todo escola pública,Vocação,Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),F,HISTÓRIA (LICENCIATURA)
25,2564,13405,Branca,3,"R$ 2.811,01 a R$ 4.216,50",Média-baixa,Escola pública,Todo escola pública,Inserção no Mercado de Trabalho,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Médio,M,HISTÓRIA (LICENCIATURA)
25,2564,13405,Parda,1,"até R$ 1.405,50",Baixíssima,Escola pública,Todo escola pública,Outro,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),F,HISTÓRIA (LICENCIATURA)
25,2564,13405,Parda,2,"R$ 1.405,51 a R$ 2.811,00",Baixa,Não,Todo escola pública,Vocação,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),F,HISTÓRIA (LICENCIATURA)
25,2564,13405,Branca,2,"R$ 1.405,51 a R$ 2.811,00",Baixa,Escola pública,Todo escola pública,Vocação,Nenhuma,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),M,HISTÓRIA (LICENCIATURA)
25,2564,13405,Parda,2,"R$ 1.405,51 a R$ 2.811,00",Baixa,Escola pública,Todo escola pública,Outro,Nenhuma,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),F,HISTÓRIA (LICENCIATURA)
25,2564,13405,Branca,2,"R$ 1.405,51 a R$ 2.811,00",Baixa,Não,Todo escola pública,Inserção no Mercado de Trabalho,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),F,HISTÓRIA (LICENCIATURA)
25,2564,13405,Não quero declarar,2,"R$ 1.405,51 a R$ 2.811,00",Baixa,Não,Todo escola pública,Vocação,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),M,HISTÓRIA (LICENCIATURA)
25,2564,13405,Branca,1,"até R$ 1.405,50",Baixíssima,Não,Todo escola pública,Vocação,Nenhuma,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),F,HISTÓRIA (LICENCIATURA)
25,2564,13405,Branca,2,"R$ 1.405,51 a R$ 2.811,00",Baixa,Não,Todo escola pública,Inserção no Mercado de Trabalho,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),F,HISTÓRIA (LICENCIATURA)
25,2564,13405,Branca,1,"até R$ 1.405,50",Baixíssima,Não,Todo escola particular,Vocação,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),M,HISTÓRIA (LICENCIATURA)
25,2564,13405,Branca,2,"R$ 1.405,51 a R$ 2.811,00",Baixa,Não,Todo escola pública,Outro,Nenhuma,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),M,HISTÓRIA (LICENCIATURA)
25,2564,13405,Parda,1,"até R$ 1.405,50",Baixíssima,Não,Todo escola pública,Vocação,Nenhuma,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),F,HISTÓRIA (LICENCIATURA)
25,2564,13405,Parda,1,"até R$ 1.405,50",Baixíssima,Étnico-racial,Todo escola pública,Outro,Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),Ensino Médio,F,HISTÓRIA (LICENCIATURA)
25,2564,13405,Parda,1,"até R$ 1.405,50",Baixíssima,Não,Todo escola pública,Vocação,Ensino Médio,Ensino Médio,F,HISTÓRIA (LICENCIATURA)
25,2564,13405,Parda,1,"até R$ 1.405,50",Baixíssima,Não,Todo escola pública,Vocação,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),M,HISTÓRIA (LICENCIATURA)
25,2564,13405,Parda,2,"R$ 1.405,51 a R$ 2.811,00",Baixa,Escola pública,Todo escola pública,Inserção no Mercado de Trabalho,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),M,HISTÓRIA (LICENCIATURA)
25,2564,13405,Parda,1,"até R$ 1.405,50",Baixíssima,Mais de uma cota,Todo escola pública,Inserção no Mercado de Trabalho,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),F,HISTÓRIA (LICENCIATURA)
25,2564,13405,Preta,1,"até R$ 1.405,50",Baixíssima,Não,Todo escola pública,Vocação,Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),Ensino Médio,M,HISTÓRIA (LICENCIATURA)
25,2564,13405,Parda,2,"R$ 1.405,51 a R$ 2.811,00",Baixa,Não,Todo escola pública,Outro,Nenhuma,Nenhuma,M,HISTÓRIA (LICENCIATURA)
25,2564,13405,Preta,1,"até R$ 1.405,50",Baixíssima,Não,Todo escola pública,Outro,Ensino Médio,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),M,HISTÓRIA (LICENCIATURA)
25,2564,13405,Branca,1,"até R$ 1.405,50",Baixíssima,Não,Todo escola pública,Outro,Ensino Médio,Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),F,HISTÓRIA (LICENCIATURA)
25,2564,13405,Não quero declarar,2,"R$ 1.405,51 a R$ 2.811,00",Baixa,Não,Todo escola pública,Inserção no Mercado de Trabalho,Nenhuma,Nenhuma,M,HISTÓRIA (LICENCIATURA)
25,2564,13405,Não quero declarar,2,"R$ 1.405,51 a R$ 2.811,00",Baixa,Não,Todo escola pública,Valorização Profissional,Nenhuma,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),M,HISTÓRIA (LICENCIATURA)
25,2564,13405,Parda,2,"R$ 1.405,51 a R$ 2.811,00",Baixa,Não,Todo escola pública,Outro,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),F,HISTÓRIA (LICENCIATURA)
25,2564,13405,Preta,1,"até R$ 1.405,50",Baixíssima,Não,Todo escola pública,Inserção no Mercado de Trabalho,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Médio,M,HISTÓRIA (LICENCIATURA)
25,2564,13405,Preta,1,"até R$ 1.405,50",Baixíssima,Não,Todo escola pública,Inserção no Mercado de Trabalho,Nenhuma,Ensino Médio,F,HISTÓRIA (LICENCIATURA)
25,2564,13405,Branca,1,"até R$ 1.405,50",Baixíssima,Não,Todo escola pública,Inserção no Mercado de Trabalho,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),F,HISTÓRIA (LICENCIATURA)
25,2564,13405,Branca,1,"até R$ 1.405,50",Baixíssima,Não,Maior parte escola particular,Vocação,Nenhuma,Ensino Médio,F,HISTÓRIA (LICENCIATURA)
25,2564,13405,Branca,1,"até R$ 1.405,50",Baixíssima,Não,Todo escola pública,Inserção no Mercado de Trabalho,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),Nenhuma,F,HISTÓRIA (LICENCIATURA)
25,2564,13405,Branca,4,"R$ 4.216,51 a R$ 5.622,00",Média,Não,Todo escola pública,Outro,Nenhuma,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),F,HISTÓRIA (LICENCIATURA)
25,2564,13405,Não quero declarar,1,"até R$ 1.405,50",Baixíssima,Não,Todo escola pública,Vocação,Nenhuma,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),F,HISTÓRIA (LICENCIATURA)
25,2564,13405,Preta,1,"até R$ 1.405,50",Baixíssima,Não,Todo escola pública,Outro,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),M,HISTÓRIA (LICENCIATURA)
25,2564,13405,Parda,1,"até R$ 1.405,50",Baixíssima,Renda,Todo escola pública,Outro,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Superior - Graduação,F,HISTÓRIA (LICENCIATURA)
25,2564,13405,Preta,2,"R$ 1.405,51 a R$ 2.811,00",Baixa,Não,Todo escola pública,Outro,Nenhuma,Nenhuma,M,HISTÓRIA (LICENCIATURA)
25,2564,13405,Parda,2,"R$ 1.405,51 a R$ 2.811,00",Baixa,Não,Todo escola pública,Outro,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),F,HISTÓRIA (LICENCIATURA)
25,2564,13405,Parda,1,"até R$ 1.405,50",Baixíssima,Étnico-racial,Todo escola pública,Outro,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),F,HISTÓRIA (LICENCIATURA)
25,2564,13405,Parda,1,"até R$ 1.405,50",Baixíssima,Não,Todo escola pública,Outro,Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),F,HISTÓRIA (LICENCIATURA)
25,2564,13405,Parda,1,"até R$ 1.405,50",Baixíssima,Não,Todo escola pública,Vocação,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),F,HISTÓRIA (LICENCIATURA)
25,2564,13405,Amarela,1,"até R$ 1.405,50",Baixíssima,Escola pública,Todo escola pública,Outro,Nenhuma,Nenhuma,F,HISTÓRIA (LICENCIATURA)
25,2564,13405,Preta,2,"R$ 1.405,51 a R$ 2.811,00",Baixa,Mais de uma cota,Todo escola pública,Outro,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),F,HISTÓRIA (LICENCIATURA)
25,2564,13405,Amarela,1,"até R$ 1.405,50",Baixíssima,Mais de uma cota,Todo escola pública,Vocação,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),Nenhuma,M,HISTÓRIA (LICENCIATURA)
25,2564,13405,Preta,2,"R$ 1.405,51 a R$ 2.811,00",Baixa,Étnico-racial,Todo escola pública,Outro,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Superior - Graduação,M,HISTÓRIA (LICENCIATURA)
25,2564,13405,Parda,3,"R$ 2.811,01 a R$ 4.216,50",Média-baixa,Não,Todo escola pública,Vocação,Nenhuma,Ensino Superior - Graduação,F,HISTÓRIA (LICENCIATURA)
25,2564,13405,Branca,3,"R$ 2.811,01 a R$ 4.216,50",Média-baixa,Não,Todo escola particular,Vocação,Ensino Superior - Graduação,Ensino Superior - Graduação,M,HISTÓRIA (LICENCIATURA)
25,2564,13405,Preta,1,"até R$ 1.405,50",Baixíssima,Não,Todo escola pública,Inserção no Mercado de Trabalho,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),F,HISTÓRIA (LICENCIATURA)
25,2564,13405,Parda,6,"R$ 9.370,01 a R$ 28.110,00",Alta,Não,Todo escola pública,Outro,Ensino Médio,Ensino Médio,M,HISTÓRIA (LICENCIATURA)
25,2564,13405,Preta,2,"R$ 1.405,51 a R$ 2.811,00",Baixa,Não,Todo escola pública,Vocação,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),M,HISTÓRIA (LICENCIATURA)
25,2564,13405,Branca,2,"R$ 1.405,51 a R$ 2.811,00",Baixa,Não,Todo escola pública,Outro,Ensino Superior - Graduação,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),M,HISTÓRIA (LICENCIATURA)
25,2564,13405,Parda,1,"até R$ 1.405,50",Baixíssima,Não,Todo escola pública,Outro,Nenhuma,Nenhuma,F,HISTÓRIA (LICENCIATURA)
25,2564,13405,Preta,3,"R$ 2.811,01 a R$ 4.216,50",Média-baixa,Não,Todo escola pública,Inserção no Mercado de Trabalho,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),M,HISTÓRIA (LICENCIATURA)
25,2564,13405,Parda,1,"até R$ 1.405,50",Baixíssima,Não,Todo escola pública,Outro,Nenhuma,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),F,HISTÓRIA (LICENCIATURA)
25,2564,13405,Amarela,2,"R$ 1.405,51 a R$ 2.811,00",Baixa,Não,Todo escola pública,Baixa concorrência,Nenhuma,Nenhuma,M,HISTÓRIA (LICENCIATURA)
25,2564,13405,Parda,2,"R$ 1.405,51 a R$ 2.811,00",Baixa,Mais de uma cota,Todo escola pública,Influência familiar,Ensino Médio,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),F,HISTÓRIA (LICENCIATURA)
25,2564,13405,Branca,1,"até R$ 1.405,50",Baixíssima,Não,Todo escola pública,Inserção no Mercado de Trabalho,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),F,HISTÓRIA (LICENCIATURA)
25,2564,13405,Parda,2,"R$ 1.405,51 a R$ 2.811,00",Baixa,Não,Todo escola pública,Vocação,Nenhuma,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),M,HISTÓRIA (LICENCIATURA)
25,2564,13405,Parda,1,"até R$ 1.405,50",Baixíssima,Não,Todo escola pública,Inserção no Mercado de Trabalho,Nenhuma,Nenhuma,F,HISTÓRIA (LICENCIATURA)
25,2564,13407,Branca,2,"R$ 1.405,51 a R$ 2.811,00",Baixa,Não,Todo escola pública,Outro,Nenhuma,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),M,GEOGRAFIA (LICENCIATURA)
25,2564,13407,Não quero declarar,1,"até R$ 1.405,50",Baixíssima,Não,Todo escola pública,Outro,Nenhuma,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),M,GEOGRAFIA (LICENCIATURA)
25,2564,13407,Branca,2,"R$ 1.405,51 a R$ 2.811,00",Baixa,Não,Todo escola pública,Outro,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),F,GEOGRAFIA (LICENCIATURA)
25,2564,13407,Branca,3,"R$ 2.811,01 a R$ 4.216,50",Média-baixa,Não,Todo escola pública,Outro,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),F,GEOGRAFIA (LICENCIATURA)
25,2564,13407,Parda,2,"R$ 1.405,51 a R$ 2.811,00",Baixa,Não,Todo escola pública,Outro,Nenhuma,Nenhuma,F,GEOGRAFIA (LICENCIATURA)
25,2564,13407,Parda,2,"R$ 1.405,51 a R$ 2.811,00",Baixa,Escola pública,Todo escola pública,Baixa concorrência,Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),M,GEOGRAFIA (LICENCIATURA)
25,2564,13407,Branca,2,"R$ 1.405,51 a R$ 2.811,00",Baixa,Não,Todo escola pública,Influência familiar,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Superior - Graduação,M,GEOGRAFIA (LICENCIATURA)
25,2564,13407,Parda,1,"até R$ 1.405,50",Baixíssima,Não,Todo escola pública,Outro,Nenhuma,Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),F,GEOGRAFIA (LICENCIATURA)
25,2564,13407,Parda,1,"até R$ 1.405,50",Baixíssima,Outra cota,Todo escola pública,Outro,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),F,GEOGRAFIA (LICENCIATURA)
25,2564,13407,Parda,3,"R$ 2.811,01 a R$ 4.216,50",Média-baixa,Não,Todo escola pública,Vocação,Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),M,GEOGRAFIA (LICENCIATURA)
25,2564,13407,Amarela,1,"até R$ 1.405,50",Baixíssima,Não,Todo escola pública,Outro,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),M,GEOGRAFIA (LICENCIATURA)
25,2564,13407,Branca,1,"até R$ 1.405,50",Baixíssima,Não,Todo escola pública,Vocação,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),F,GEOGRAFIA (LICENCIATURA)
25,2564,13407,Parda,1,"até R$ 1.405,50",Baixíssima,Não,Maior parte escola pública,Influência familiar,Ensino Médio,Ensino Superior - Graduação,F,GEOGRAFIA (LICENCIATURA)
25,2564,13407,Parda,1,"até R$ 1.405,50",Baixíssima,Não,Todo escola pública,Inserção no Mercado de Trabalho,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),M,GEOGRAFIA (LICENCIATURA)
25,2564,13407,Branca,2,"R$ 1.405,51 a R$ 2.811,00",Baixa,Não,Maior parte escola particular,Outro,Ensino Médio,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),F,GEOGRAFIA (LICENCIATURA)
25,2564,13407,Branca,1,"até R$ 1.405,50",Baixíssima,Não,Todo escola pública,Influência familiar,Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),F,GEOGRAFIA (LICENCIATURA)
25,2564,13407,Parda,1,"até R$ 1.405,50",Baixíssima,Étnico-racial,Todo escola pública,Outro,Nenhuma,Nenhuma,F,GEOGRAFIA (LICENCIATURA)
25,2564,13407,Branca,2,"R$ 1.405,51 a R$ 2.811,00",Baixa,Não,Todo escola pública,Influência familiar,Ensino Superior - Graduação,Ensino Médio,F,GEOGRAFIA (LICENCIATURA)
25,2564,13407,Amarela,1,"até R$ 1.405,50",Baixíssima,Não,Todo escola pública,Vocação,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),F,GEOGRAFIA (LICENCIATURA)
25,2564,13407,Amarela,1,"até R$ 1.405,50",Baixíssima,Não,Todo escola pública,Vocação,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),F,GEOGRAFIA (LICENCIATURA)
25,2564,13407,Parda,2,"R$ 1.405,51 a R$ 2.811,00",Baixa,Escola pública,Todo escola pública,Outro,Ensino Médio,Pós-graduação,F,GEOGRAFIA (LICENCIATURA)
25,2564,13407,Parda,1,"até R$ 1.405,50",Baixíssima,Não,Todo escola pública,Outro,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),F,GEOGRAFIA (LICENCIATURA)
25,2564,13407,Parda,1,"até R$ 1.405,50",Baixíssima,Outra cota,Todo escola pública,Vocação,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),F,GEOGRAFIA (LICENCIATURA)
25,2564,13407,Parda,1,"até R$ 1.405,50",Baixíssima,Não,Todo escola pública,Inserção no Mercado de Trabalho,Nenhuma,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),F,GEOGRAFIA (LICENCIATURA)
25,2564,13407,Branca,1,"até R$ 1.405,50",Baixíssima,Não,Todo escola pública,Vocação,Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),M,GEOGRAFIA (LICENCIATURA)
25,2564,13407,Preta,2,"R$ 1.405,51 a R$ 2.811,00",Baixa,Não,Todo escola pública,Vocação,Nenhuma,Nenhuma,M,GEOGRAFIA (LICENCIATURA)
25,2564,13407,Parda,1,"até R$ 1.405,50",Baixíssima,Renda,Todo escola pública,Inserção no Mercado de Trabalho,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Médio,F,GEOGRAFIA (LICENCIATURA)
25,2564,13407,Branca,2,"R$ 1.405,51 a R$ 2.811,00",Baixa,Escola pública,Todo escola pública,Inserção no Mercado de Trabalho,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Médio,F,GEOGRAFIA (LICENCIATURA)
25,2564,13407,Parda,1,"até R$ 1.405,50",Baixíssima,Não,Todo escola pública,Outro,Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),Nenhuma,M,GEOGRAFIA (LICENCIATURA)
25,2564,13407,Parda,1,"até R$ 1.405,50",Baixíssima,Escola pública,Todo escola pública,Valorização Profissional,Nenhuma,Ensino Médio,F,GEOGRAFIA (LICENCIATURA)
25,2564,13407,Parda,2,"R$ 1.405,51 a R$ 2.811,00",Baixa,Não,Todo escola pública,Vocação,Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),M,GEOGRAFIA (LICENCIATURA)
25,2564,13407,Parda,4,"R$ 4.216,51 a R$ 5.622,00",Média,Não,Todo escola pública,Vocação,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Superior - Graduação,F,GEOGRAFIA (LICENCIATURA)
25,2564,13407,Parda,1,"até R$ 1.405,50",Baixíssima,Não,Todo escola pública,Influência familiar,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Médio,M,GEOGRAFIA (LICENCIATURA)
25,2564,13407,Branca,2,"R$ 1.405,51 a R$ 2.811,00",Baixa,Não,Todo escola pública,Outro,Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),Ensino Médio,M,GEOGRAFIA (LICENCIATURA)
25,2564,13407,Branca,1,"até R$ 1.405,50",Baixíssima,Não,Todo escola pública,Outro,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),F,GEOGRAFIA (LICENCIATURA)
25,2564,13407,Preta,2,"R$ 1.405,51 a R$ 2.811,00",Baixa,Não,Todo escola pública,Vocação,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),M,GEOGRAFIA (LICENCIATURA)
25,2564,13407,Branca,1,"até R$ 1.405,50",Baixíssima,Não,Todo escola pública,Vocação,Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),M,GEOGRAFIA (LICENCIATURA)
25,2564,13407,Preta,1,"até R$ 1.405,50",Baixíssima,Não,Todo escola pública,Vocação,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Médio,F,GEOGRAFIA (LICENCIATURA)
25,2564,13407,Parda,1,"até R$ 1.405,50",Baixíssima,Não,Todo escola pública,Inserção no Mercado de Trabalho,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),M,GEOGRAFIA (LICENCIATURA)
25,2564,13407,Branca,1,"até R$ 1.405,50",Baixíssima,Não,Todo escola pública,Outro,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),F,GEOGRAFIA (LICENCIATURA)
25,2564,13407,Parda,1,"até R$ 1.405,50",Baixíssima,Não,Todo escola pública,Influência familiar,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),F,GEOGRAFIA (LICENCIATURA)
